direction,target_price,calc_target_price,target_time,predicted_range,predicted_duration,actual_end_price,actual_end_time,actual_direction,actual_range,actual_duration,price_error,price_error_pct,range_error,duration_error,start_time,start_price
Down,4439.369286911488,4438.780145187378,2026-01-05 18:31:06.840991973,9.98985481262207,15.11401653289795,4440.31,2026-01-05 18:30:00,Down,8.460000000000036,14.0,0.9407130885119841,0.021185752537817945,1.529854812622034,1.1140165328979492,2026-01-05 18:16:00,4448.77
Up,4454.552580076456,4453.296093521119,2026-01-05 18:49:18.325080871,12.986093521118164,19.305418014526367,4454.43,2026-01-05 18:54:00,Up,14.11999999999989,24.0,0.1225800764559608,0.0027518689586762124,1.1339064788817268,4.694581985473633,2026-01-05 18:30:00,4440.31
Down,4445.1914978384975,4444.522170715332,2026-01-05 19:14:56.430931091,9.907829284667969,20.940515518188477,4432.4,2026-01-05 19:05:00,Down,22.030000000000655,11.0,12.79149783849789,0.28859078238646985,12.122170715332686,9.940515518188477,2026-01-05 18:54:00,4454.43
Up,4441.702187204361,4441.218711280822,2026-01-05 19:20:56.135673522,8.818711280822754,15.93559455871582,4449.13,2026-01-05 19:26:00,Up,16.730000000000473,21.0,7.427812795639511,0.16694978109516942,7.911288719177719,5.06440544128418,2026-01-05 19:05:00,4432.4
Down,4434.49873760879,4437.497994308472,2026-01-05 19:43:28.956413269,11.63200569152832,17.482606887817383,4437.84,2026-01-05 19:44:00,Down,11.289999999999964,18.0,3.341262391209966,0.07529028516598088,0.3420056915283567,0.5173931121826172,2026-01-05 19:26:00,4449.13
Up,4447.991061286926,4449.125355567932,2026-01-05 20:01:00.325584411,11.285355567932129,17.00542640686035,4445.75,2026-01-05 19:57:00,Up,7.9099999999998545,13.0,2.2410612869261968,0.05040907129114765,3.3753555679322744,4.005426406860352,2026-01-05 19:44:00,4437.84
Down,4438.074376434088,4437.869843006134,2026-01-05 20:14:05.609436035,7.880156993865967,17.093490600585938,4441.89,2026-01-05 20:01:00,Down,3.8599999999996726,4.0,3.815623565912574,0.08590090177632885,4.020156993866294,13.093490600585938,2026-01-05 19:57:00,4445.75
Up,4450.624872035981,4451.4415022277835,2026-01-05 20:15:16.997795104,9.551502227783203,14.283296585083008,4448.59,2026-01-05 20:16:00,Up,6.699999999999818,15.0,2.0348720359806975,0.045741955001038476,2.851502227783385,0.7167034149169922,2026-01-05 20:01:00,4441.89
Down,4439.647062451244,4438.921036567688,2026-01-05 20:30:49.583415985,9.668963432312012,14.826390266418457,4439.88,2026-01-05 20:29:00,Down,8.710000000000036,13.0,0.2329375487561265,0.005246482985038481,0.9589634323119753,1.826390266418457,2026-01-05 20:16:00,4448.59
Up,4449.257693395614,4447.924097900391,2026-01-05 20:45:33.520088195,8.044097900390625,16.55866813659668,4449.24,2026-01-05 21:00:00,Up,9.359999999999673,31.0,0.017693395614514884,0.00039767231290096475,1.3159020996090476,14.44133186340332,2026-01-05 20:29:00,4439.88
Down,4441.413819444179,4442.691410770416,2026-01-05 21:15:31.066875457,6.54858922958374,15.517781257629395,4435.14,2026-01-05 21:10:00,Down,14.099999999999454,10.0,6.273819444179026,0.14145707788658363,7.551410770415714,5.5177812576293945,2026-01-05 21:00:00,4449.24
Up,4446.408922562599,4448.115950241089,2026-01-05 21:26:33.984603881,12.975950241088867,16.566410064697266,4445.86,2026-01-05 21:34:00,Up,10.719999999999345,24.0,0.5489225625997278,0.012346825194669373,2.255950241089522,7.433589935302734,2026-01-05 21:10:00,4435.14
Down,4437.996040844917,4436.77425037384,2026-01-05 21:51:47.085800170,9.085749626159668,17.78476333618164,4438.66,2026-01-05 21:56:00,Down,7.199999999999818,22.0,0.6639591550829209,0.014958549541594106,1.8857496261598499,4.215236663818359,2026-01-05 21:34:00,4445.86
Up,4447.1900967526435,4448.843708190918,2026-01-05 22:12:52.864837646,10.183708190917969,16.881080627441406,4447.0,2026-01-05 22:21:00,Up,8.340000000000146,25.0,0.19009675264351245,0.004274718971070664,1.8437081909178232,8.118919372558594,2026-01-05 21:56:00,4438.66
Down,4441.616328656673,4440.746389865875,2026-01-05 22:34:14.667205810,6.253610134124756,13.244453430175781,4438.07,2026-01-05 22:44:00,Down,8.930000000000291,23.0,3.5463286566737224,0.0799070013919051,2.676389865875535,9.755546569824219,2026-01-05 22:21:00,4447.0
Up,4447.106859711408,4445.777845687866,2026-01-05 22:56:23.153228759,7.707845687866211,12.385887145996094,4448.24,2026-01-05 23:10:00,Up,10.170000000000073,26.0,1.133140288591676,0.02547390178119157,2.462154312133862,13.614112854003906,2026-01-05 22:44:00,4438.07
Down,4442.454472470284,4440.3652784729,2026-01-05 23:25:17.569828033,7.874721527099609,15.292830467224121,4443.46,2026-01-05 23:19:00,Down,4.779999999999745,9.0,1.0055275297163462,0.022629381826692403,3.094721527099864,6.292830467224121,2026-01-05 23:10:00,4448.24
Up,4456.0393562030795,4453.845538101196,2026-01-05 23:33:08.169765472,10.385538101196289,14.136162757873535,4448.37,2026-01-05 23:34:00,Up,4.9099999999998545,15.0,7.669356203079587,0.17240823499573074,5.475538101196435,0.8638372421264648,2026-01-05 23:19:00,4443.46
Down,4442.024320287108,4440.027628059387,2026-01-05 23:48:33.520374298,8.342371940612793,14.558672904968262,4445.29,2026-01-05 23:47:00,Down,3.0799999999999272,13.0,3.2656797128920516,0.07346381704887761,5.262371940612866,1.5586729049682617,2026-01-05 23:34:00,4448.37
Up,4457.431523895264,4458.085060157776,2026-01-06 00:01:52.965488433,12.795060157775879,14.882758140563965,4460.09,2026-01-06 01:10:00,Up,14.800000000000182,83.0,2.65847610473611,0.05960588474080365,2.004939842224303,68.11724185943604,2026-01-05 23:47:00,4445.29
Down,4450.862621399165,4443.9184454345705,2026-01-06 01:26:55.703659057,16.171554565429688,16.928394317626953,4436.76,2026-01-06 02:01:00,Down,23.329999999999927,51.0,14.10262139916449,0.31785855892959025,7.15844543457024,34.07160568237305,2026-01-06 01:10:00,4460.09
Up,4449.1141164493565,4455.094489822388,2026-01-06 02:29:27.589416503,18.334489822387695,28.459823608398438,4444.78,2026-01-06 02:31:00,Up,8.019999999999527,30.0,4.33411644935677,0.09751025808604184,10.314489822388168,1.5401763916015625,2026-01-06 02:01:00,4436.76
Down,4438.937509008646,4435.807955055237,2026-01-06 02:48:12.634048461,8.972044944763184,17.210567474365234,4430.46,2026-01-06 02:40:00,Down,14.319999999999709,9.0,8.477509008645939,0.19134602295576392,5.347955055236525,8.210567474365234,2026-01-06 02:31:00,4444.78
Up,4442.782314054966,4445.272135696411,2026-01-06 02:54:07.844638824,14.812135696411133,14.130743980407715,4438.21,2026-01-06 02:48:00,Up,7.75,8.0,4.572314054966228,0.1030215797577453,7.062135696411133,6.130743980407715,2026-01-06 02:40:00,4430.46
