direction,target_price,calc_target_price,target_time,predicted_range,predicted_duration,actual_end_price,actual_end_time,actual_direction,actual_range,actual_duration,price_error_pct
Down,4439.369286911488,4438.780145187378,2026-01-05 18:31:06.840991973,9.98985481262207,15.11401653289795,4440.31,2026-01-05 18:30:00,Down,8.460000000000036,14.0,0.021185752537817945
Up,4454.552580076456,4453.296093521119,2026-01-05 18:49:18.325080871,12.986093521118164,19.305418014526367,4454.43,2026-01-05 18:54:00,Up,14.11999999999989,24.0,0.0027518689586762124
Down,4445.1914978384975,4444.522170715332,2026-01-05 19:14:56.430931091,9.907829284667969,20.940515518188477,4432.4,2026-01-05 19:05:00,Down,22.030000000000655,11.0,0.28859078238646985
Up,4441.702187204361,4441.218711280822,2026-01-05 19:20:56.135673522,8.818711280822754,15.93559455871582,4449.13,2026-01-05 19:26:00,Up,16.730000000000473,21.0,0.16694978109516942
Down,4434.49873760879,4437.497994308472,2026-01-05 19:43:28.956413269,11.63200569152832,17.482606887817383,4437.84,2026-01-05 19:44:00,Down,11.289999999999964,18.0,0.07529028516598088
Up,4447.991061286926,4449.125355567932,2026-01-05 20:01:00.325584411,11.285355567932129,17.00542640686035,4445.75,2026-01-05 19:57:00,Up,7.9099999999998545,13.0,0.05040907129114765
Down,4438.074376434088,4437.869843006134,2026-01-05 20:14:05.609436035,7.880156993865967,17.093490600585938,4441.89,2026-01-05 20:01:00,Down,3.8599999999996726,4.0,0.08590090177632885
Up,4450.624872035981,4451.4415022277835,2026-01-05 20:15:16.997795104,9.551502227783203,14.283296585083008,4448.59,2026-01-05 20:16:00,Up,6.699999999999818,15.0,0.045741955001038476
Down,4439.647062451244,4438.921036567688,2026-01-05 20:30:49.583415985,9.668963432312012,14.826390266418457,4439.88,2026-01-05 20:29:00,Down,8.710000000000036,13.0,0.005246482985038481
Up,4449.257693395614,4447.924097900391,2026-01-05 20:45:33.520088195,8.044097900390625,16.55866813659668,4449.24,2026-01-05 21:00:00,Up,9.359999999999673,31.0,0.00039767231290096475
Down,4441.413819444179,4442.691410770416,2026-01-05 21:15:31.066875457,6.54858922958374,15.517781257629395,4435.14,2026-01-05 21:10:00,Down,14.099999999999454,10.0,0.14145707788658363
Up,4446.408922562599,4448.115950241089,2026-01-05 21:26:33.984603881,12.975950241088867,16.566410064697266,4445.86,2026-01-05 21:34:00,Up,10.719999999999345,24.0,0.012346825194669373
Down,4437.996040844917,4436.77425037384,2026-01-05 21:51:47.085800170,9.085749626159668,17.78476333618164,4438.66,2026-01-05 21:56:00,Down,7.199999999999818,22.0,0.014958549541594106
Up,4447.1900967526435,4448.843708190918,2026-01-05 22:12:52.864837646,10.183708190917969,16.881080627441406,4447.0,2026-01-05 22:21:00,Up,8.340000000000146,25.0,0.004274718971070664
Down,4441.616328656673,4440.746389865875,2026-01-05 22:34:14.667205810,6.253610134124756,13.244453430175781,4438.07,2026-01-05 22:44:00,Down,8.930000000000291,23.0,0.0799070013919051
Up,4447.106859711408,4445.777845687866,2026-01-05 22:56:23.153228759,7.707845687866211,12.385887145996094,4448.24,2026-01-05 23:10:00,Up,10.170000000000073,26.0,0.02547390178119157
Down,4442.454472470284,4440.3652784729,2026-01-05 23:25:17.569828033,7.874721527099609,15.292830467224121,4443.46,2026-01-05 23:19:00,Down,4.779999999999745,9.0,0.022629381826692403
Up,4456.0393562030795,4453.845538101196,2026-01-05 23:33:08.169765472,10.385538101196289,14.136162757873535,4448.37,2026-01-05 23:34:00,Up,4.9099999999998545,15.0,0.17240823499573074
Down,4442.024320287108,4440.027628059387,2026-01-05 23:48:33.520374298,8.342371940612793,14.558672904968262,4445.29,2026-01-05 23:47:00,Down,3.0799999999999272,13.0,0.07346381704887761
Up,4457.431523895264,4458.085060157776,2026-01-06 00:01:52.965488433,12.795060157775879,14.882758140563965,4460.09,2026-01-06 01:10:00,Up,14.800000000000182,83.0,0.05960588474080365
Down,4450.862621399165,4443.9184454345705,2026-01-06 01:26:55.703659057,16.171554565429688,16.928394317626953,4436.76,2026-01-06 02:01:00,Down,23.329999999999927,51.0,0.31785855892959025
Up,4449.1141164493565,4455.094489822388,2026-01-06 02:29:27.589416503,18.334489822387695,28.459823608398438,4444.78,2026-01-06 02:31:00,Up,8.019999999999527,30.0,0.09751025808604184
Down,4438.937509008646,4435.807955055237,2026-01-06 02:48:12.634048461,8.972044944763184,17.210567474365234,4430.46,2026-01-06 02:40:00,Down,14.319999999999709,9.0,0.19134602295576392
Up,4442.782314054966,4445.272135696411,2026-01-06 02:54:07.844638824,14.812135696411133,14.130743980407715,4438.21,2026-01-06 02:48:00,Up,7.75,8.0,0.1030215797577453
Down,4429.467815011144,4427.5392989730835,2026-01-06 03:02:00.213890075,10.670701026916504,14.003564834594727,4434.68,2026-01-06 02:54:00,Down,3.5299999999997453,6.0,0.11753238089008179
Up,4451.358009586334,4449.893645935059,2026-01-06 03:11:02.071952819,15.213645935058594,17.03453254699707,4440.24,2026-01-06 03:00:00,Up,5.559999999999491,6.0,0.2503920866064597
Down,4428.65482008934,4428.357744445801,2026-01-06 03:14:28.150978088,11.882255554199219,14.469182968139648,4428.06,2026-01-06 03:03:00,Down,12.179999999999382,3.0,0.013432972663873544
Up,4440.525552914143,4442.378174362183,2026-01-06 03:17:00.981044769,14.318174362182617,14.016350746154785,4444.21,2026-01-06 03:15:00,Up,16.149999999999636,12.0,0.08290443264060081
Down,4425.776182989478,4425.550221405029,2026-01-06 03:33:24.485664367,18.659778594970703,18.40809440612793,4432.78,2026-01-06 03:34:00,Down,11.430000000000291,19.0,0.15800055519384548
Up,4443.03309924364,4448.948674468994,2026-01-06 03:50:36.146392822,16.16867446899414,16.602439880371094,4460.98,2026-01-06 04:30:00,Up,28.199999999999818,56.0,0.40230847832447936
Down,4447.492203724384,4448.561783294677,2026-01-06 04:46:34.669990539,12.418216705322266,16.57783317565918,4448.9,2026-01-06 04:41:00,Down,12.079999999999927,11.0,0.03164369339871677
Up,4460.750675404071,4459.990691566467,2026-01-06 04:55:05.882091522,11.090691566467285,14.098034858703613,4457.55,2026-01-06 04:49:00,Up,8.650000000000546,8.0,0.07180346612087946
Down,4449.76791985631,4448.3381984710695,2026-01-06 05:04:56.403121948,9.211801528930664,15.940052032470703,4451.88,2026-01-06 04:57:00,Down,5.670000000000073,8.0,0.047442432044215846
Up,4464.21784034729,4464.119809036255,2026-01-06 05:11:54.968719482,12.239809036254883,14.916145324707031,4468.06,2026-01-06 05:24:00,Up,16.18000000000029,27.0,0.0859916754186494
Down,4457.820372701884,4457.97219329834,2026-01-06 05:38:43.890266418,10.087806701660156,14.731504440307617,4464.66,2026-01-06 05:50:00,Down,3.4000000000005457,26.0,0.15319480762513346
Up,4472.719010710716,4474.616744194031,2026-01-06 06:07:11.207084655,9.956744194030762,17.186784744262695,4468.12,2026-01-06 05:55:00,Up,3.4600000000000364,5.0,0.1029294358861525
Down,4460.743182780742,4459.236358757019,2026-01-06 06:10:38.455066680,8.883641242980957,15.640917778015137,4464.73,2026-01-06 06:07:00,Down,3.3900000000003274,12.0,0.08929581899145791
Up,4473.700859545469,4473.06222579956,2026-01-06 06:21:53.319568634,8.332225799560547,14.888659477233887,4468.55,2026-01-06 06:12:00,Up,3.8200000000006185,5.0,0.11526914872763755
Down,4462.494083371758,4460.389948654175,2026-01-06 06:29:02.551918029,8.160051345825195,17.042531967163086,4463.25,2026-01-06 06:15:00,Down,5.300000000000182,3.0,0.01693646173173631
Up,4470.432821631432,4471.4048500061035,2026-01-06 06:34:08.143501281,8.154850006103516,19.135725021362305,4466.37,2026-01-06 06:34:00,Up,3.119999999999891,19.0,0.09096473492862635
